id,judul,penulis,penerbit,tahunTerbit,stok,kategori_id
922,Unlearning Shame,"Devon Price, PhD",Harmony,2024,10,24
924,Every Woman's Nightmare,Steven Long,St. Martin's Paperbacks,2007,10,24
925,New York Magazine,Unknown,Unknown,1992,10,24
926,Diversifying the Space of Podcasting,"Alexis Romero Walker, Tegan R. Bratcher",Rowman & Littlefield,2024,10,24
927,"Truman Capote and the Legacy of ""In Cold Blood""",Ralph F. Voss,University of Alabama Press,2015,10,24
928,Routledge Handbook of Homicide Studies,"Kyle A. Burgason, Matt DeLisi",Taylor & Francis,2024,10,24
929,Death of a Doctor,Carlton Smith,Macmillan,2007,10,24
930,The Psychological Impact of America's Serial Killers,Warren Geis,RWG Publishing,2024,10,24
931,Television by Stream,"Christina Adamou, Sotiris Petridis",McFarland,2023,10,24
932,Books and Beyond [4 volumes],Kenneth Womack,Bloomsbury Publishing USA,2008,10,24
933,Violence in American Popular Culture,David Schmid,Bloomsbury Publishing USA,2015,10,24
934,Exploitation and Criminalization at the Margins,"Taryn VanderPyl, Shanell Sanchez",Lexington Books,2024,10,24
935,The Oxford Encyclopedia of American Cultural and Intellectual History,"Joan Shelley Rubin, Scott E. Casper","Oxford University Press, USA",2013,10,24
936,The Solitary Vice,Mikita Brottman,Catapult,2008,10,24
937,"Vixens, Vamps & Vipers",Mike Madrid,Exterminating Angel Press,2014,10,24
938,Crime and Mental Disorder,John Monahan,Unknown,1984,10,24
939,Perfect Beauty,"Keith Elliot Greenberg, Vincent Felber",Macmillan,2008,10,24
940,Deadly American Beauty,John Glatt,St. Martin's Paperbacks,2007,10,24
941,A Poisoned Passion,Diane Fanning,Macmillan,2009,10,24
942,Strange Spaces,"André Jansson, Amanda Lagerkvist","Ashgate Publishing, Ltd.",2009,10,24
943,Love Lockdown,Elizabeth Greenwood,Simon and Schuster,2021,10,24
944,Creepy Crawling,Jeffrey Melnick,Simon and Schuster,2018,10,24
946,"The Criminal Justice Report of Lower Burma, 1889","Burma, Lower",Unknown,1890,10,24
947,"Crime, Media, and Reality","Venessa Garcia, Samantha G. Arkerson",Rowman & Littlefield,2017,10,24
948,How Documentaries Went Mainstream,Nora Stone,Oxford University Press,2023,10,24
949,House of Evil,John Dean,St. Martin's Press,2008,10,24
950,Never Seen Again,Jeanne King,Macmillan,2008,10,24
951,Beauty Sleep,Michaele G. Ballard,Macmillan,2008,10,24
952,The BTK Murders,Carlton Smith,Macmillan,2007,10,24
953,After Foucault,Lisa Downing,Unknown,2018,10,24
954,Pretend We're Dead,Annalee Newitz,Duke University Press,2006,10,24
955,The Routledge Companion to Radio and Podcast Studies,"Mia Lindgren, Jason Loviglio",Taylor & Francis,2022,10,24
957,Desire and Domestic Fiction,Nancy Armstrong,Oxford University Press,1987,10,25
958,Fan Fiction and Fan Communities in the Age of the Internet,Kristina Busse,McFarland,2014,10,25
959,The Columbia Guide to Contemporary African American Fiction,Darryl Dickson-Carr,Columbia University Press,2005,10,25
960,The Distinction of Fiction,Dorrit Cohn,JHU Press,2000,10,25
961,New Boundaries in Political Science Fiction,"Donald M. Hassler, Clyde Wilcox",Univ of South Carolina Press,2008,10,25
962,Science Fiction and Philosophy,Susan Schneider,John Wiley & Sons,2009,10,25
963,A Geography of Victorian Gothic Fiction,Robert Mighall,"Oxford University Press, USA",2003,10,25
964,Fitzgerald's Craft of Short Fiction,Alice Hall Petry,University of Alabama Press,1989,10,25
965,Flash Fiction : Jangan Berkedip!,"Primadonna Angela Mertoyono, Isman Hidayat Suryaman",Gramedia Pustaka Utama,2006,10,25
966,The Art of Fiction,Walter Besant,Unknown,1885,10,25
967,John Fowles's Fiction and the Poetics of Postmodernism,Mahmoud Salami,Associated University Presse,1992,10,25
968,Science/fiction Collections,Halbert W. Hall,Psychology Press,1983,10,25
969,The Fiction of South Asians in North America and the Caribbean,"Mitali P. Wong, Zia Hasan",McFarland,2010,10,25
970,Science Fiction,Roger Luckhurst,Polity,2005,10,25
971,The History of the Science-fiction Magazine,"Michael Ashley, Mike Ashley",Liverpool University Press,2000,10,25
972,On Modern British Fiction,Zachary Leader,"Oxford University Press, USA",2002,10,25
973,Crime Fiction,John Scaggs,Psychology Press,2005,10,25
974,The Explosive World of Tatyana N. Tolstaya's Fiction,Helena Goscilo,M.E. Sharpe,1996,10,25
975,Science Fiction and Fantasy Literature,"R. Reginald, Douglas Menville, Mary A. Burgess",Wildside Press LLC,2010,10,25
976,The Music in African American Fiction,Robert H. Cataliotti,Taylor & Francis,1995,10,25
977,Narrative of Chinese and Western Popular Fiction,Yonglin Huang,Springer,2018,10,25
978,Major Trends in the Post-independence Indian English Fiction,"B. R. Agrawal, M. P. Sinha",Atlantic Publishers & Dist,2003,10,25
979,Into The Mind : Introduction to Prose Fiction,"Dr. Sony Sukmawan, M.Pd dan Dr. Lestari Setyowati, S.Pd., M.Pd",Media Nusa Creative (MNC Publishing),2023,10,25
980,"History, Fiction, and Germany",Brent Orlyn Peterson,Wayne State University Press,2005,10,25
981,A Century of French Fiction,Benjamin Willis Wells,Unknown,1898,10,25
982,History of Prose Fiction,John Colin Dunlop,Unknown,1896,10,25
984,The Jew in English Fiction,David Philipson,Cincinnati : Robert Clarke,1889,10,25
985,"Peoria Public Library List of English Fiction, French Fiction, and Juveniles","Peoria Public Library (Peoria, Ill.)",Unknown,1894,10,25
986,"Twentieth-century Poetry, Fiction, Theory","Harry Raphael Garvin, John D. Kirkland",Bucknell University Press,1977,10,25
987,A Library of Famous Fiction,Unknown,Unknown,1873,10,25
988,'Truth is Stranger Than Fiction',Isaac W. Ambler,Unknown,1883,10,25
989,Toni Morrison's Fiction,David L. Middleton,Psychology Press,2000,10,25
990,"The hero of the desert; or, Facts more wonderful than fiction. [With cancel title-leaf, reading] Moses, the hero of the desert",James Spong,Unknown,1874,10,25
991,"Character Sketches of Romance, Fiction and the Drama",Ebenezer Cobham Brewer,Unknown,1896,10,25
992,Author and Title List of Fiction and Children's Stories,"Nahant Public Library, Nahant, Mass",Unknown,1895,10,25
993,Altavona. Fact and Fiction from My Life in the Highlands,John Stuart Blackie,Unknown,1882,10,25
994,Indian English Fiction,"Gajendra Kumar, Uday Shankar Ojha",Sarup & Sons,2003,10,25
995,The Reality - Fiction Opposition in Children's Literature,Adrian Zagler,GRIN Verlag,2011,10,25
997,The Lost City of Z - Kota Z yang Hilang,David Grann,Gramedia Pustaka Utama,2015,10,26
998,Berperang demi Tuhan,"Karen Armstrong, T. Hermaya, Yuliani Liputo",Unknown,2013,10,26
999,What Is Non-fiction Cinema?,Trevor Ponech,Routledge,2021,10,26
1003,Bomber Mafia,Malcolm Gladwell,Gramedia Pustaka Utama,2021,10,26
1004,Mastering Nonfiction Writing with ChatGPT,Maximus Wilson,Adidas Wilson ,2023,10,26
1005,Angsa-Angsa Liar,Jung Chang,Gramedia Pustaka Utama,2005,10,26
1006,Nonfiction Matters,Stephanie Harvey,Stenhouse Publishers,1998,10,26
1008,Nelson English - Red Level Teacher's Guide,"John Jackman, Wendy Wren",Nelson Thornes,2001,10,26
1009,Reciprocities in the Nonfiction Novel,John Russell,University of Georgia Press,2000,10,26
1010,Access,Wendy Wren,Nelson Thornes,2005,10,26
1011,Misteri-Misteri tentang Ruang dan Waktu,Bill Bryson,Gramedia Pustaka Utama,2015,10,26
1012,Nonfiction Film,Richard Barsam,Indiana University Press,1992,10,26
1013,Guiding Readers Through Non-fiction,"Dave Leochko, Tom Rossi",Portage & Main Press,2007,10,26
1014,The Everything Guide to Writing Nonfiction,Richard D Bank,Everything,2009,10,26
1015,Exploring Nonfiction with Young Learners,"Darla Miner, Jill Zitnay",R&L Education,2012,10,26
1016,Introducing Nonfiction Writing in the Early Grades,Jodi Weisbart Mahoney,Scholastic Inc.,2002,10,26
1017,Summary & Review of The 100 Best Non Fiction Books,Nelson KJ,Nelson KJ,0,10,26
1018,Philosophy of Film and Motion Pictures,"Noël Carroll, Jinhee Choi",John Wiley & Sons,2009,10,26
1019,Holocaust Cinema Complete,Rich Brownstein,McFarland,2021,10,26
1020,Bookwise,Sharon Parsons,Nelson Thornes,2001,10,26
1021,Non-Fiction Text Structures for Better Comprehension and Response,Gail Saunders-Smith,"Maupin House Publishing, Inc.",2009,10,26
1022,Strategies that Work,"Stephanie Harvey, Anne Goudvis",Stenhouse Publishers,2007,10,26
1023,Framework English,"Geoff Reilly, Wendy Wren",Nelson Thornes,2003,10,26
1024,Nonfiction Strategies Grades 1-3,Debra J. Housel,Teacher Created Resources,2002,10,26
1025,A Richard Wright Bibliography,"Kenneth Kinnamon, Joseph Benson, Michel Fabre, Craig Werner",Bloomsbury Publishing USA,1988,10,26
1026,Nelson Thornes Framework English,"Geoff Reilly, Wendy Wren",Nelson Thornes,2002,10,26
1027,Nonfiction Strategies Grades 4-8,Debra J. Housel,Teacher Created Resources,2002,10,26
1028,The Canadian Guide to Creative Writing and Publishing,Patricia Westerhof,Dundurn,2023,10,26
1029,Nonfiction Craft Lessons,"JoAnn Portalupi, Ralph J. Fletcher",Stenhouse Publishers,2001,10,26
1031,Exploring the Literature of Fact,Barbara Moss,Guilford Press,2003,10,26
1033,Nonfiction Reading Comprehension Grade 6,Debra Housel,Teacher Created Resources,2003,10,26
1034,Teaching English Creatively,Teresa Cremin,Routledge,2009,10,26
1035,What's Next for this Beginning Writer?,"Janine Reid, Betty Schultze, Ulla Petersen",Pembroke Publishers Limited,2005,10,26
1036,The Family Romance of the French Revolution,Lynn Hunt,Univ of California Press,1992,10,27
1037,Romance Writing,Lynne Pearce,Polity,2007,10,27
1038,The Romance Languages,Rebecca Posner,Cambridge University Press,1996,10,27
1039,Medieval English Romance in Context,Gail Ashton,A&C Black,2010,10,27
1040,The Medieval Greek Romance,Roderick Beaton,Psychology Press,1996,10,27
1041,The Heroines of English Pastoral Romance,Sue P. Starke,Boydell & Brewer,2007,10,27
1042,Anglicising Romance,Rhiannon Purdie,Boydell & Brewer Ltd,2008,10,27
